Average of latency,Column Labels,,,
Row Labels,1,2,3,Grand Total
16450065157,,78.60233918,,78.60233918
16450065158,,77.91277259,,77.91277259
16450065159,,80.50788644,,80.50788644
16450065160,,77.24702381,,77.24702381
16450065161,,78.87925697,,78.87925697
16450065162,,78.50301205,,78.50301205
16450065163,,82.45276873,,82.45276873
16450065164,,79.13975155,,79.13975155
16450065165,,79.52380952,,79.52380952
16450065166,,78.86746988,,78.86746988
16450065167,,78.94135802,,78.94135802
16450065168,,79,,79
16450065169,,78.4601227,,78.4601227
16450065170,,78.66455696,,78.66455696
16450065171,,79.59214502,,79.59214502
16450065172,,79.3445122,,79.3445122
16450065173,,78.6231003,,78.6231003
16450065174,,82.00325733,,82.00325733
16450065175,,78.7120743,,78.7120743
16450065176,,78.64634146,,78.64634146
16450065177,,77.625,,77.625
16450065178,,81.18658892,,81.18658892
16450065179,,78.0310559,,78.0310559
16450065180,,79.62576687,,79.62576687
16450065181,,78.84782609,,78.84782609
16450065182,,78.37931034,,78.37931034
16450065183,,79.77230769,,79.77230769
16450065184,,79.02453988,,79.02453988
16450065185,,79.25889968,,79.25889968
16450065186,,80.96875,,80.96875
16450065187,,84.59459459,,84.59459459
16450065188,,79.04560261,,79.04560261
16450065189,,77.53846154,,77.53846154
16450065190,,78.44200627,,78.44200627
16450065191,,79.27692308,,79.27692308
16450065192,,79.13504823,,79.13504823
16450065193,,79.7652439,,79.7652439
16450065194,,78.93655589,,78.93655589
16450065195,,78.93269231,,78.93269231
16450065196,,77.09792285,,77.09792285
16450065197,,80.90909091,,80.90909091
16450065198,,79.5408805,,79.5408805
16450065199,,78.43768997,,78.43768997
16450065200,,80.0543131,,80.0543131
16450065201,,83.54375,,83.54375
16450065202,,75.22916667,,75.22916667
16450065203,,80.21864952,,80.21864952
16450065204,,78.22985075,,78.22985075
16450065205,,81.11145511,,81.11145511
16450065206,,78.75078864,,78.75078864
16450065207,,77.96352584,,77.96352584
16450065208,,80.66666667,,80.66666667
16450065209,,81.12345679,,81.12345679
16450065210,,77.37151703,,77.37151703
16450065211,,79.80733945,,79.80733945
16450065212,,79.95031056,,79.95031056
16450065213,,78.9223301,,78.9223301
16450065214,,79.11620795,,79.11620795
16450065215,,79.95356037,,79.95356037
16450065216,,79.33333333,,79.33333333
16450065217,,82.67088608,,82.67088608
16450065218,,78.78778135,,78.78778135
16450065219,,77.92058824,,77.92058824
16450065220,,77.26791277,,77.26791277
16450065221,,78.58769231,,78.58769231
16450065222,,79.19135802,,79.19135802
16450065223,,77.26409496,,77.26409496
16450065224,,80.73482428,,80.73482428
16450065225,,78.19061584,,78.19061584
16450065226,,79.48064516,,79.48064516
16450065227,,79.22712934,,79.22712934
16450065228,,79.86743516,,79.86743516
16450065229,,81.7028754,,81.7028754
16450065230,,79.28947368,,79.28947368
16450065231,,78.0755287,,78.0755287
16450065232,,77.91463415,,77.91463415
16450065233,,78.66774194,,78.66774194
16450065234,,77.78698225,,77.78698225
16450065235,,82.40186916,,82.40186916
16450065236,,78.85714286,,78.85714286
16450065237,,78.29230769,,78.29230769
16450065238,,79.128125,,79.128125
